id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_lab,jumlah_lab,satuan,tahun
52,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK RINGAN,9,UNIT,2017/2018
53,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK SEDANG,0,UNIT,2017/2018
54,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK BERAT,0,UNIT,2017/2018
55,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,RUSAK TOTAL,0,UNIT,2017/2018
56,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,BAIK,3,UNIT,2017/2018
57,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK RINGAN,2,UNIT,2017/2018
58,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK SEDANG,0,UNIT,2017/2018
59,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK BERAT,0,UNIT,2017/2018
60,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,RUSAK TOTAL,1,UNIT,2017/2018
61,32,JAWA BARAT,3213,KABUPATEN SUBANG,BAIK,6,UNIT,2017/2018
62,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK RINGAN,4,UNIT,2017/2018
63,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK SEDANG,0,UNIT,2017/2018
64,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK BERAT,1,UNIT,2017/2018
65,32,JAWA BARAT,3213,KABUPATEN SUBANG,RUSAK TOTAL,0,UNIT,2017/2018
66,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,BAIK,1,UNIT,2017/2018
67,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK RINGAN,2,UNIT,2017/2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK SEDANG,0,UNIT,2017/2018
69,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK BERAT,0,UNIT,2017/2018
70,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,RUSAK TOTAL,0,UNIT,2017/2018
71,32,JAWA BARAT,3215,KABUPATEN KARAWANG,BAIK,0,UNIT,2017/2018
72,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK RINGAN,2,UNIT,2017/2018
73,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK SEDANG,0,UNIT,2017/2018
74,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK BERAT,0,UNIT,2017/2018
75,32,JAWA BARAT,3215,KABUPATEN KARAWANG,RUSAK TOTAL,0,UNIT,2017/2018
76,32,JAWA BARAT,3216,KABUPATEN BEKASI,BAIK,7,UNIT,2017/2018
77,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK RINGAN,2,UNIT,2017/2018
78,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK SEDANG,0,UNIT,2017/2018
79,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK BERAT,0,UNIT,2017/2018
80,32,JAWA BARAT,3216,KABUPATEN BEKASI,RUSAK TOTAL,1,UNIT,2017/2018
81,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,BAIK,2,UNIT,2017/2018
82,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK RINGAN,3,UNIT,2017/2018
83,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK SEDANG,0,UNIT,2017/2018
84,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK BERAT,0,UNIT,2017/2018
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,RUSAK TOTAL,0,UNIT,2017/2018
86,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,BAIK,3,UNIT,2017/2018
87,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK RINGAN,1,UNIT,2017/2018
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK SEDANG,0,UNIT,2017/2018
89,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK BERAT,0,UNIT,2017/2018
90,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK TOTAL,0,UNIT,2017/2018
91,32,JAWA BARAT,3271,KOTA BOGOR,BAIK,2,UNIT,2017/2018
92,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK RINGAN,3,UNIT,2017/2018
93,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK SEDANG,0,UNIT,2017/2018
94,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK BERAT,0,UNIT,2017/2018
95,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK TOTAL,0,UNIT,2017/2018
96,32,JAWA BARAT,3272,KOTA SUKABUMI,BAIK,2,UNIT,2017/2018
97,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK RINGAN,2,UNIT,2017/2018
98,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK SEDANG,0,UNIT,2017/2018
99,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK BERAT,0,UNIT,2017/2018
100,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK TOTAL,0,UNIT,2017/2018
101,32,JAWA BARAT,3273,KOTA BANDUNG,BAIK,7,UNIT,2017/2018
102,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK RINGAN,6,UNIT,2017/2018
103,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK SEDANG,1,UNIT,2017/2018
104,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK BERAT,0,UNIT,2017/2018
105,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK TOTAL,0,UNIT,2017/2018
106,32,JAWA BARAT,3274,KOTA CIREBON,BAIK,0,UNIT,2017/2018
107,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK RINGAN,2,UNIT,2017/2018
108,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK SEDANG,0,UNIT,2017/2018
109,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK BERAT,0,UNIT,2017/2018
110,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK TOTAL,1,UNIT,2017/2018
111,32,JAWA BARAT,3275,KOTA BEKASI,BAIK,6,UNIT,2017/2018
112,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK RINGAN,8,UNIT,2017/2018
113,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK SEDANG,0,UNIT,2017/2018
114,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK BERAT,0,UNIT,2017/2018
115,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK TOTAL,1,UNIT,2017/2018
116,32,JAWA BARAT,3276,KOTA DEPOK,BAIK,3,UNIT,2017/2018
117,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK RINGAN,8,UNIT,2017/2018
118,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK SEDANG,0,UNIT,2017/2018
119,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK BERAT,1,UNIT,2017/2018
120,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK TOTAL,0,UNIT,2017/2018
121,32,JAWA BARAT,3277,KOTA CIMAHI,BAIK,1,UNIT,2017/2018
122,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK RINGAN,0,UNIT,2017/2018
